"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\finalcapstone\admin_creation\admin_created.php", "PHP", 22, 0, 0, 3, 2, 27
"c:\xampp\htdocs\finalcapstone\admin_creation\admin_creation.css", "CSS", 0, 48, 0, 3, 9, 60
"c:\xampp\htdocs\finalcapstone\admin_creation\create_admin.php", "PHP", 40, 0, 0, 6, 9, 55
"c:\xampp\htdocs\finalcapstone\admin_creation\reset_admin_creation.php", "PHP", 6, 0, 0, 1, 0, 7
"c:\xampp\htdocs\finalcapstone\admin_dashboard\admin_dashboard.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\finalcapstone\admin_dashboard\admin_dashboard.php", "PHP", 216, 0, 0, 6, 14, 236
"c:\xampp\htdocs\finalcapstone\admin_dashboard\admin_dashboard_f.php", "PHP", 45, 0, 0, 3, 26, 74
"c:\xampp\htdocs\finalcapstone\admin_dashboard\adsemester.php", "PHP", 76, 0, 0, 18, 17, 111
"c:\xampp\htdocs\finalcapstone\admin_dashboard\adsemesterswal.php", "PHP", 22, 0, 0, 5, 3, 30
"c:\xampp\htdocs\finalcapstone\authentication.php", "PHP", 29, 0, 0, 4, 7, 40
"c:\xampp\htdocs\finalcapstone\codes.php", "PHP", 204, 0, 0, 14, 12, 230
"c:\xampp\htdocs\finalcapstone\commands.php", "PHP", 749, 0, 0, 197, 171, 1117
"c:\xampp\htdocs\finalcapstone\database.php", "PHP", 275, 0, 0, 25, 60, 360
"c:\xampp\htdocs\finalcapstone\error.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\finalcapstone\history.php", "PHP", 305, 0, 0, 21, 31, 357
"c:\xampp\htdocs\finalcapstone\includes.php", "PHP", 20, 0, 0, 0, 10, 30
"c:\xampp\htdocs\finalcapstone\index.php", "PHP", 156, 0, 0, 10, 13, 179
"c:\xampp\htdocs\finalcapstone\inventory\add_book.php", "PHP", 293, 0, 0, 5, 19, 317
"c:\xampp\htdocs\finalcapstone\inventory\add_college_programs.php", "PHP", 296, 0, 0, 2, 28, 326
"c:\xampp\htdocs\finalcapstone\inventory\add_getyearlevels.php", "PHP", 16, 0, 0, 0, 3, 19
"c:\xampp\htdocs\finalcapstone\inventory\add_seniorhigh_strands.php", "PHP", 303, 0, 0, 2, 31, 336
"c:\xampp\htdocs\finalcapstone\inventory\archive.php", "PHP", 425, 0, 0, 46, 46, 517
"c:\xampp\htdocs\finalcapstone\inventory\book_view.php", "PHP", 72, 0, 0, 11, 12, 95
"c:\xampp\htdocs\finalcapstone\inventory\bookstyle.css", "CSS", 0, 98, 0, 1, 12, 111
"c:\xampp\htdocs\finalcapstone\inventory\edit_book.php", "PHP", 23, 0, 0, 3, 8, 34
"c:\xampp\htdocs\finalcapstone\inventory\fetch_book_id.php", "PHP", 17, 0, 0, 4, 7, 28
"c:\xampp\htdocs\finalcapstone\inventory\get_programs_and_associations.php", "PHP", 24, 0, 0, 7, 9, 40
